Ligne;Date;"Code boutique source";"Artisan source";Désignation;Quantité;"Prix unitaire";"Montant transcrit";"Montant retenu";Écart;Statut;Anomalies
3;05/07/2023;Hall;;Miel;3;2500;7500;7500;0;Importée;"Artisan non identifiable"
9;08/07/2023;;;"Liqueur d'ail";2;15000;30000;30000;0;Importée;"Code de boutique absent | Artisan non identifiable"
10;10/07/2023;"N° 1";"Mme Sylvie";"Charbon actif";2;1000;2000;2000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Sylvie » à 75,0 %"
12;10/07/2023;"N° 1";"Mme Sylvie";Chapeau;1;5000;5000;5000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Sylvie » à 75,0 %"
15;11/07/2023;;;"Serviette hygiénique";1;1500;1500;1500;0;Importée;"Code de boutique absent | Artisan non identifiable"
16;12/07/2023;"N° 02";"M. Dsimmi";NKOUTIN;1;;;;;"Non importée";"Quantité, prix et montant trop lacunaires pour une vente"
17;12/07/2023;"N° 27";Brunildhe;"Sirop toux et grippe";2;2000;4000;4000;0;Importée;"Rapprochement d'artisan écarté : sous le seuil : « Brunilda » à 82,4 %"
18;12/07/2023;;;"Miel naturel";1;1000;1000;1000;0;Importée;"Code de boutique absent | Artisan non identifiable"
19;12/07/2023;;;"Miel pur";1;;;;;"Non importée";"Code de boutique absent | Artisan non identifiable | Quantité, prix et montant trop lacunaires pour une vente"
20;12/07/2023;"N° 31";"Mama Noun";"Fève de cacao";2;;;;;"Non importée";"Quantité, prix et montant trop lacunaires pour une vente"
22;12/07/2023;;;"Beurre de cacao";2;500;1000;1000;0;Importée;"Code de boutique absent | Artisan non identifiable"
23;12/07/2023;"N° 6";Sidonie;Pagnier;1;;;;;"Non importée";"Quantité, prix et montant trop lacunaires pour une vente"
24;12/07/2023;"N° 1";"Mme Noussjou";"Chocolat noir";1;1500;1300;1500;-200;Importée;"Écart signalé à la source (ECART) | Écart de calcul : montant transcrit différent de quantité × prix | Rapprochement d'artisan écarté : sous le seuil : « Noussjou » à 80,0 %"
26;12/07/2023;;Mouliom;"Tableau en Bois Ndop";2;1500;3000;3000;0;Importée;"Code de boutique absent"
27;12/07/2023;;;"Masque Gd modèle";1;10000;10000;10000;0;Importée;"Code de boutique absent | Artisan non identifiable"
28;12/07/2023;;;"Masque Petit modèle";2;20000;40000;40000;0;Importée;"Code de boutique absent | Artisan non identifiable"
29;12/07/2023;;;"Chapeau Ndop";2;10000;20000;20000;0;Importée;"Code de boutique absent | Artisan non identifiable"
30;13/07/2023;?;Sylvie;"Chocolat noir";1;1000;1000;1000;0;Importée;"Code de boutique absent"
31;13/07/2023;?;;"Vin lemon";1;4500;4500;4500;0;Importée;"Code de boutique absent | Artisan non identifiable"
32;13/07/2023;?;;"Vin Bellevue";1;3000;3000;3000;0;Importée;"Code de boutique absent | Artisan non identifiable | Prix unitaire déduit du montant et de la quantité"
33;13/07/2023;1;;"Vin yanis";1;4500;4500;4500;0;Importée;"Artisan non identifiable | Prix unitaire déduit du montant et de la quantité"
34;13/07/2023;;;"Yanis tea";1;2500;2500;2500;0;Importée;"Code de boutique absent | Artisan non identifiable"
35;13/07/2023;;Evelyne;"Vin wine";1;2500;2500;2500;0;Importée;"Code de boutique absent"
